反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
0,0,16,0,0,2590
0,0,33,0,0,2593
0,0,6,0,0,2597
0,0,30,0,0,2600
0,0,10,0,0,2603
0,0,18,0,0,2606
0,0,22,0,0,2610
0,0,19,0,0,2614
0,0,28,0,0,2617
0,0,4,0,0,2620
0,0,32,0,0,2624
0,0,9,0,0,2627
0,0,37,0,0,2630
0,0,25,0,0,2634
0,0,14,0,0,2637
0,0,27,0,0,2640
0,0,15,0,0,2644
0,0,24,0,0,2647
0,0,22,0,0,2650
0,0,28,0,0,2654
0,0,15,0,0,2657
0,0,30,0,0,2660
0,0,13,0,0,2664
0,0,27,0,0,2667
0,0,23,0,0,2670
0,0,16,0,0,2674
0,0,33,0,0,2677
0,0,11,0,0,2680
0,0,32,0,0,2684
0,0,14,0,0,2687
0,0,26,0,0,2690
0,0,22,0,0,2694
0,0,24,0,0,2697
0,0,18,0,0,2700
0,0,22,0,0,2704
0,0,26,0,0,2707
0,0,14,0,0,2710
0,0,25,0,0,2714
0,0,15,0,0,2717
0,0,28,0,0,2720
0,0,18,0,0,2724
0,0,16,0,0,2727
0,0,22,0,0,2731
0,0,21,0,0,2734
0,0,16,0,0,2737
0,0,25,0,0,2741
0,0,16,0,0,2744
0,0,14,0,0,2747
0,0,24,0,0,2750
0,0,11,0,0,2754
0,0,31,0,0,2758
0,0,11,0,0,2761
0,0,26,0,0,2764
0,0,9,0,0,2768
0,0,28,0,0,2771
0,0,24,0,0,2774
0,0,10,0,0,2778
0,0,32,0,0,2781
0,0,17,0,0,2784
0,0,28,0,0,2788
0,0,8,0,0,2791
0,0,26,0,0,2794
0,0,13,0,0,2798
0,0,26,0,0,2801
0,0,24,0,0,2804
0,0,20,0,0,2808
0,0,22,0,0,2811
0,0,15,0,0,2814
0,0,29,0,0,2818
0,0,16,0,0,2821
0,0,29,0,0,2824
0,0,17,0,0,2828
0,0,25,0,0,2831
0,0,29,0,0,2834
0,0,15,0,0,2838
0,0,24,0,0,2841
0,0,17,0,0,2844
0,0,34,0,0,2848
0,0,14,0,0,2851
0,0,22,0,0,2854
0,0,20,0,0,2858
0,0,24,0,0,2861
0,0,24,0,0,2865
0,0,15,0,0,2868
0,0,31,0,0,2871
0,0,9,0,0,2875
0,0,34,0,0,2878
0,0,14,0,0,2882
0,0,29,0,0,2885
0,0,16,0,0,2888
0,0,21,0,0,2892
0,0,28,0,0,2895
0,0,13,0,0,2898
0,0,29,0,0,2902
0,0,2,0,0,2905
0,0,34,0,0,2908
0,0,17,0,0,2912
0,0,25,0,0,2915
0,0,16,0,0,2918
0,0,14,0,0,2922
0,0,27,0,0,2925
0,0,14,0,0,2929
0,0,24,0,0,2932
0,0,19,0,0,2935
0,0,23,0,0,2938
0,0,10,0,0,2942
0,0,32,0,0,2946
0,0,18,0,0,2949
0,0,20,0,0,2952
0,0,21,0,0,2956
0,0,18,0,0,2959
0,0,24,0,0,2962
0,0,11,0,0,2966
0,0,22,0,0,2969
0,0,19,0,0,2972
0,0,28,0,0,2976
0,0,11,0,0,2979
0,0,35,0,0,2982
0,0,14,0,0,2986
0,0,23,0,0,2989
0,0,19,0,0,2992
0,0,23,0,0,2996
0,0,19,0,0,2999
0,0,26,0,0,3002
0,0,27,0,0,3006
0,0,13,0,0,3009
0,0,23,0,0,3012
0,0,16,0,0,3016
0,0,28,0,0,3020
0,0,24,0,0,3023
0,0,24,0,0,3026
0,0,22,0,0,3030
0,0,18,0,0,3033
0,0,28,0,0,3036
0,0,15,0,0,3040
0,0,27,0,0,3043
0,0,15,0,0,3046
0,0,27,0,0,3050
0,0,5,0,0,3053
