反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
9,13,-15,0,645.716370
9,6,-15,0,646.423218
9,8,-15,0,647.130066
9,7,-15,0,648.190369
9,13,-15,0,649.250671
11,4,-13,20,649.604126
10,2,-14,-10,650.664429
10,8,-14,0,651.371277
10,1,-14,0,652.431580
10,-2,-14,0,652.785034
10,0,-14,0,654.198730
12,-3,-12,20,654.905579
12,1,-12,0,655.612427
12,1,-12,0,656.319275
12,-3,-12,0,657.379578
13,7,-12,10,658.086426
13,9,-12,0,658.793274
13,9,-12,0,659.853577
13,5,-12,0,660.560425
13,10,-12,0,661.267273
15,11,-10,20,662.327576
16,11,-9,10,663.034424
16,9,-9,0,663.741272
17,11,-8,10,664.801575
19,11,-7,20,665.508423
19,4,-7,0,666.215271
19,0,-7,0,666.922119
19,4,-7,0,667.628967
19,4,-7,0,669.042664
19,3,-7,0,669.396118
18,1,-8,-10,670.456421
22,6,-4,40,671.163269
22,6,-4,0,671.870117
22,4,-4,0,672.576965
23,5,-4,10,673.283813
24,14,-3,10,674.344116
24,12,-3,0,674.697571
24,10,-3,0,675.757874
24,16,-3,0,676.464722
25,17,-2,10,677.171570
27,17,0,20,677.878418
27,20,0,0,678.231873
27,22,0,0,679.645569
27,19,0,0,679.999023
27,22,0,0,680.705872
28,26,0,10,681.766174
30,20,1,20,682.119629
30,16,1,0,682.826477
30,19,1,0,683.886780
29,14,0,-10,684.240234
31,5,2,20,684.947083
31,12,2,0,686.007385
31,13,2,0,686.360840
31,3,2,0,687.067688
31,8,2,0,688.127991
31,15,2,0,688.834839
32,12,3,10,689.541687
33,16,4,10,690.248535
32,13,3,-10,691.308838
32,14,3,0,692.369141
33,12,4,10,693.075989
32,10,3,-10,693.782837
32,6,3,0,694.843140
32,3,3,0,695.549988
32,4,3,0,696.610291
33,3,4,10,697.317139
33,1,4,0,698.377441
33,3,4,0,699.084290
33,1,4,0,700.144592
34,-3,4,10,700.851440
33,-1,4,-10,701.911743
33,-3,4,0,702.972046
34,-5,4,10,704.032349
34,-6,4,0,705.092651
35,-6,5,10,705.799500
34,-7,4,-10,707.213196
34,-5,4,0,707.566650
34,-3,4,0,708.980347
35,-3,5,10,709.687195
35,-5,5,0,711.100891
35,2,5,0,711.454346
35,0,5,0,712.868042
35,-8,5,0,713.574890
35,-3,5,0,714.988586
35,-3,5,0,715.695435
35,-7,5,0,717.109131
35,-5,5,0,717.815979
35,-7,5,0,718.876282
35,-7,5,0,719.583130
35,-6,5,0,720.996826
34,-8,4,-10,721.703674
34,-10,4,0,723.117371
35,-9,5,10,723.824219
35,-6,5,0,724.884521
35,-3,5,0,725.944824
34,-5,4,-10,727.005127
34,1,4,0,728.065430
34,-1,4,0,728.772278
34,7,4,0,729.832581
34,2,4,0,730.892883
34,0,4,0,731.953186
34,3,4,0,732.660034
35,10,5,10,733.720337
35,3,5,0,734.780640
34,-4,4,-10,735.840942
34,4,4,0,736.901245
35,9,5,10,737.961548
35,-5,5,0,738.668396
35,-9,5,0,739.728699
36,1,6,10,740.789001
36,-2,6,0,741.495850
36,0,6,0,742.556152
36,-1,6,0,743.616455
36,1,6,0,744.676758
36,6,6,0,745.737061
37,5,7,10,746.797363
37,4,7,0,747.504211
37,5,7,0,748.564514
37,2,7,0,749.624817
38,6,8,10,750.685120
37,11,7,-10,751.391968
37,8,7,0,752.452271
37,-1,7,0,753.512573
37,5,7,0,754.572876
36,3,6,-10,755.633179
36,-8,6,0,756.693481
36,-9,6,0,757.400330
36,2,6,0,758.460632
36,-6,6,0,759.520935
36,-6,6,0,760.581238
36,-4,6,0,761.641541
36,1,6,0,762.348389
36,4,6,0,763.762085
36,1,6,0,764.468933
